,h1,h2,time_arduino,time_python
390,60.56,41.58,103014.0,1708084045.2358346
391,60.48,41.59,103105.0,1708084045.3269517
392,60.52,41.64,103196.0,1708084045.4219055
393,60.63,41.7,103288.0,1708084045.5101635
394,60.62,41.68,103379.0,1708084045.6023288
395,60.5,41.77,103471.0,1708084045.6914513
396,60.54,41.76,103562.0,1708084045.7847002
397,60.65,41.77,103654.0,1708084045.8759108
398,60.67,41.85,103745.0,1708084045.9698174
399,60.65,41.84,103836.0,1708084046.059083
400,60.66,41.9,103927.0,1708084046.1494591
401,60.79,41.94,104018.0,1708084046.2393196
402,60.88,41.98,104111.0,1708084046.3354897
403,60.89,42.02,104202.0,1708084046.4268987
404,60.99,42.04,104293.0,1708084046.5146282
405,61.02,42.11,104384.0,1708084046.6089313
406,61.04,42.16,104475.0,1708084046.6980507
407,61.2,42.17,104567.0,1708084046.7900841
408,61.19,42.19,104658.0,1708084046.878148
409,61.04,42.23,104750.0,1708084046.977189
410,60.83,42.26,104841.0,1708084047.0635571
411,60.75,42.31,104932.0,1708084047.1546333
412,60.75,42.3,105024.0,1708084047.2497787
413,60.6,42.35,105115.0,1708084047.3370602
414,60.42,42.41,105206.0,1708084047.4290276
415,60.33,42.39,105297.0,1708084047.5289352
416,60.32,42.44,105389.0,1708084047.6123304
417,60.23,42.5,105481.0,1708084047.7054589
418,60.1,42.51,105572.0,1708084047.7956815
419,60.04,42.53,105663.0,1708084047.8868027
420,60.04,42.58,105754.0,1708084047.975425
421,59.99,42.61,105845.0,1708084048.0660474
422,59.86,42.64,105937.0,1708084048.1621134
423,59.73,42.66,106029.0,1708084048.252255
424,59.59,42.73,106120.0,1708084048.3414197
425,59.53,42.73,106211.0,1708084048.4345477
426,59.5,42.76,106303.0,1708084048.5246716
427,59.33,42.82,106394.0,1708084048.6157303
428,59.2,42.82,106485.0,1708084048.7090333
429,59.18,42.85,106576.0,1708084048.799172
430,59.12,42.91,106668.0,1708084048.8912876
431,58.84,42.94,106760.0,1708084048.9834125
432,58.85,42.96,106851.0,1708084049.0755377
433,58.86,42.99,106942.0,1708084049.1636102
434,58.88,43.05,107033.0,1708084049.2627845
435,58.99,43.08,107124.0,1708084049.3500364
436,59.0,43.08,107216.0,1708084049.4390383
437,58.86,43.13,107308.0,1708084049.529154
438,58.87,43.2,107399.0,1708084049.6224039
439,59.09,43.21,107490.0,1708084049.712529
440,59.23,43.25,107581.0,1708084049.802523
441,59.23,43.31,107673.0,1708084049.8967748
442,59.27,43.3,107764.0,1708084049.9877431
443,59.26,43.33,107855.0,1708084050.0770104
444,59.23,43.36,107947.0,1708084050.1721458
445,59.3,43.43,108038.0,1708084050.2612407
446,59.46,43.47,108130.0,1708084050.351425
447,59.4,43.42,108221.0,1708084050.4415085
448,59.13,43.52,108312.0,1708084050.5365834
449,59.0,43.56,108403.0,1708084050.626563
450,59.01,43.56,108494.0,1708084050.7170074
451,58.95,43.61,108587.0,1708084050.8121269
452,58.84,43.63,108678.0,1708084050.9012623
453,58.67,43.69,108769.0,1708084050.9912586
454,58.53,43.67,108860.0,1708084051.084516
455,58.45,43.71,108952.0,1708084051.174638
456,58.4,43.8,109043.0,1708084051.2664516
457,58.34,43.74,109134.0,1708084051.3600132
458,58.18,43.81,109225.0,1708084051.4490294
459,58.14,43.88,109317.0,1708084051.5410633
460,58.24,43.87,109409.0,1708084051.6302567
461,58.17,43.84,109500.0,1708084051.7235038
462,58.15,43.75,109591.0,1708084051.8206358
463,58.23,43.7,109682.0,1708084051.9046261
464,58.33,43.67,109773.0,1708084052.0066788
465,58.34,43.69,109865.0,1708084052.0896282
466,58.32,43.81,109957.0,1708084052.1817794
467,58.48,43.8,110048.0,1708084052.272202
468,58.6,43.79,110139.0,1708084052.3633287
469,58.6,43.86,110230.0,1708084052.453495
470,58.64,43.94,110322.0,1708084052.543671
471,58.74,43.92,110413.0,1708084052.6378703
472,58.84,43.93,110504.0,1708084052.7279918
473,58.89,44.04,110596.0,1708084052.8189907
474,59.0,44.04,110687.0,1708084052.912259
